Country,Year,GDP per capita USD
Australia,2000,21870.4159669594
Australia,2001,19695.7297379144
Australia,2002,20301.8431713256
Australia,2003,23718.1338501868
Australia,2004,30836.7306824685
Australia,2005,34479.7679298388
Australia,2006,36595.7071548423
Australia,2007,41051.6120652288
Australia,2008,49701.2817843335
Australia,2009,42816.5674002829
Australia,2010,52144.6654705468
Australia,2011,62605.600458306
Australia,2012,68072.8732340801
Australia,2013,68190.7010035651
Australia,2014,62544.0873773726
Australia,2015,56739.0265346593
Argentina,2000,7637.01489203628
Argentina,2001,7141.47507662826
Argentina,2002,2569.69963519124
Argentina,2003,3320.47775133903
Argentina,2004,4242.02099089422
Argentina,2005,5067.65342293276
Argentina,2006,5869.38028970204
Argentina,2007,7185.25155147027
Argentina,2008,8944.1102657357
Argentina,2009,8150.23527028221
Argentina,2010,10260.1313108254
Argentina,2011,12704.2831819684
Argentina,2012,12949.717486654
Argentina,2013,12963.675773326
Argentina,2014,12233.1444119186
Argentina,2015,13679.6264980954
Mexico,2000,7524.0271380091
Mexico,2001,7952.76479510706
Mexico,2002,7983.03398381759
Mexico,2003,7434.07465031562
Mexico,2004,7849.66759649565
Mexico,2005,8671.75891885163
Mexico,2006,9512.63575346699
Mexico,2007,10134.3327129706
Mexico,2008,10523.7685427665
Mexico,2009,8423.56933214711
Mexico,2010,9728.80078237782
Mexico,2011,10664.4944046282
Mexico,2012,10744.1335229686
Mexico,2013,11216.800851866
Mexico,2014,11391.3773510244
Mexico,2015,10021.2386124039
Brazil,2000,3766.54811466032
Brazil,2001,3176.28935747524
Brazil,2002,2855.94018885769
Brazil,2003,3090.6070097455
Brazil,2004,3663.823188064
Brazil,2005,4827.78173074714
Brazil,2006,5934.14470924968
Brazil,2007,7409.69130673473
Brazil,2008,8908.33176538648
Brazil,2009,8678.6592244676
Brazil,2010,11403.2821278747
Brazil,2011,13396.6243562986
Brazil,2012,12521.7213519966
Brazil,2013,12458.8912138813
Brazil,2014,12274.9939689363
Brazil,2015,8936.19661712113
China,2000,969.199513696287
China,2001,1065.40597574519
China,2002,1163.55957673426
China,2003,1306.97245408557
China,2004,1530.92726215723
China,2005,1777.64496828464
China,2006,2129.25696999613
China,2007,2734.72709877693
China,2008,3523.44302065213
China,2009,3898.24459158811
China,2010,4629.24551710077
China,2011,5703.76027973346
China,2012,6405.0574241349
China,2013,7147.03518622344
China,2014,7781.06597484974
China,2015,8175.33285077393
"Korea, Rep.",2000,12257.0206622345
"Korea, Rep.",2001,11561.2071745115
"Korea, Rep.",2002,13165.08362497
"Korea, Rep.",2003,14672.8057539465
"Korea, Rep.",2004,16496.1316167114
"Korea, Rep.",2005,19402.5026259549
"Korea, Rep.",2006,21743.4774514254
"Korea, Rep.",2007,24086.4104391677
"Korea, Rep.",2008,21350.427979823
"Korea, Rep.",2009,19143.8516053025
"Korea, Rep.",2010,23079.2601257735
"Korea, Rep.",2011,25097.595426845
"Korea, Rep.",2012,25459.1689000965
"Korea, Rep.",2013,27179.5170146052
"Korea, Rep.",2014,29252.9312377352
"Korea, Rep.",2015,28737.4391706499
Japan,2000,39169.3595701504
Japan,2001,34406.1824638092
Japan,2002,32820.7936433254
Japan,2003,35387.0374203599
Japan,2004,38298.9801712303
Japan,2005,37812.8950199948
Japan,2006,35991.546002862
Japan,2007,35779.0245416427
Japan,2008,39876.3039685725
Japan,2009,41308.9968370512
Japan,2010,44968.1562349739
Japan,2011,48760.0789494211
Japan,2012,49145.2804308193
Japan,2013,40898.6478964744
Japan,2014,38475.3952461838
Japan,2015,34960.6393843385
Germany,2000,23925.8559901991
Germany,2001,23878.3641471651
Germany,2002,25486.5942008748
Germany,2003,30711.1022511331
Germany,2004,34566.7359143735
Germany,2005,35084.4363546269
Germany,2006,36980.3349948954
Germany,2007,42350.9217211489
Germany,2008,46386.3295924799
Germany,2009,42487.2137101496
Germany,2010,42409.9356994694
Germany,2011,47646.582043143
Germany,2012,44735.5882319701
Germany,2013,47220.0102098851
Germany,2014,48971.0824722599
Germany,2015,41911.0109851054
Russian Federation,2000,1771.59411621094
Russian Federation,2001,2100.3525390625
Russian Federation,2002,2377.52954101563
Russian Federation,2003,2975.123046875
Russian Federation,2004,4102.36474609375
Russian Federation,2005,5323.455078125
Russian Federation,2006,6920.19970703125
Russian Federation,2007,9101.2392578125
Russian Federation,2008,11635.2841796875
Russian Federation,2009,8562.82421875
Russian Federation,2010,10674.990234375
Russian Federation,2011,14305.33203125
Russian Federation,2012,15401.8515625
Russian Federation,2013,15941.4482421875
Russian Federation,2014,14055.47265625
Russian Federation,2015,9277.7138671875
Italy,2000,20190.0035636084
Italy,2001,20570.4385917862
Italy,2002,22451.3964379368
Italy,2003,27577.5700319855
Italy,2004,31348.1901841445
Italy,2005,32062.723833669
Italy,2006,33537.1286994269
Italy,2007,37826.1754554823
Italy,2008,40828.5795580937
Italy,2009,37099.6133958219
Italy,2010,35856.8625485539
Italy,2011,38432.3742820019
Italy,2012,34854.3949441965
Italy,2013,35701.6746002376
Italy,2014,36028.3494022349
Italy,2015,30639.8829751432
India,2000,442.750218937263
India,2001,450.357900514128
India,2002,469.149928973927
India,2003,544.143133545002
India,2004,624.258826510066
India,2005,710.488080408949
India,2006,801.668353659022
India,2007,1021.88707706826
India,2008,992.519584923828
India,2009,1094.94974598436
India,2010,1347.51939071367
India,2011,1445.46127486037
India,2012,1429.32199520032
India,2013,1432.84397512195
India,2014,1553.88396075118
India,2015,1583.99815907985
Indonesia,2000,763.711124950924
Indonesia,2001,732.307093405708
Indonesia,2002,881.002913569131
Indonesia,2003,1043.2105838671
Indonesia,2004,1126.84004447173
Indonesia,2005,1238.21447629488
Indonesia,2006,1558.31562847163
Indonesia,2007,1823.21976255073
Indonesia,2008,2124.55483920618
Indonesia,2009,2218.48541852977
Indonesia,2010,3065.68348377765
Indonesia,2011,3579.46442466152
Indonesia,2012,3632.27254030331
Indonesia,2013,3566.60284506078
Indonesia,2014,3441.06808464008
Indonesia,2015,3288.22269725538
Saudi Arabia,2000,11714.5623675159
Saudi Arabia,2001,10805.311325122
Saudi Arabia,2002,10586.0543471363
Saudi Arabia,2003,11487.220410693
Saudi Arabia,2004,13154.4978989446
Saudi Arabia,2005,15975.7473782258
Saudi Arabia,2006,17563.6145370639
Saudi Arabia,2007,18596.1502627898
Saudi Arabia,2008,22320.4888964331
Saudi Arabia,2009,17718.3911648365
Saudi Arabia,2010,22028.3901426586
Saudi Arabia,2011,27126.7498747702
Saudi Arabia,2012,28733.4375513452
Saudi Arabia,2013,27865.465604962
Saudi Arabia,2014,27805.4850319422
Saudi Arabia,2015,23256.1549553531
South Africa,2000,3217.84693448467
South Africa,2001,2847.15191945908
South Africa,2002,2688.23676032806
South Africa,2003,4062.21755993786
South Africa,2004,5221.46333731721
South Africa,2005,5836.87663325127
South Africa,2006,6077.38293388876
South Africa,2007,6591.85535960564
South Africa,2008,6184.75474328399
South Africa,2009,6374.70560042992
South Africa,2010,7973.47195771517
South Africa,2011,8646.05571071635
South Africa,2012,8076.97678479741
South Africa,2013,7331.65467384919
South Africa,2014,6856.73137092522
South Africa,2015,6112.27382485974
United States,2000,36329.9702595751
United States,2001,37133.6203973517
United States,2002,37997.7424300242
United States,2003,39490.3023903176
United States,2004,41724.6411982614
United States,2005,44123.3996470026
United States,2006,46301.9876485519
United States,2007,48050.227412195
United States,2008,48570.0594269601
United States,2009,47194.9500893872
United States,2010,48642.6312088213
United States,2011,50024.8812320773
United States,2012,51708.3940614082
United States,2013,53297.3862901595
United States,2014,55153.3940182967
United States,2015,56849.4697923159
Canada,2000,24271.0020563821
Canada,2001,23822.096210932
Canada,2002,24256.0192337185
Canada,2003,28301.8645937428
Canada,2004,32145.5412620217
Canada,2005,36383.6600068095
Canada,2006,40504.0370977806
Canada,2007,44660.0838892281
Canada,2008,46710.2526864484
Canada,2009,40874.8831932903
Canada,2010,47560.6666009406
Canada,2011,52223.8588398531
Canada,2012,52670.3447335415
Canada,2013,52638.1187235237
Canada,2014,50960.8431174661
Canada,2015,43594.1941045394
France,2000,22340.5939516217
France,2001,22331.7948343036
France,2002,24144.5727019529
France,2003,29479.5222101175
France,2004,33644.9282220364
France,2005,34696.3718316971
France,2006,36431.5658906555
France,2007,41486.1907828787
France,2008,45464.8181385158
France,2009,41728.0884164132
France,2010,40694.8211697025
France,2011,43929.7840873812
France,2012,40863.5814412333
France,2013,42669.1795111893
France,2014,43148.0459288416
France,2015,36702.4323733379
