Country,Year,GDP per capita USD,CO2 Use,Life Expectancy
Australia,2000.0,21870.4159669594,350194581.8,79.5
Australia,2001.0,19695.7297379144,357668742.8,79.9
Australia,2002.0,20301.8431713256,362209093.8,79.9
Australia,2003.0,23718.1338501868,369725835.4,83.0
Australia,2004.0,30836.7306824685,383204944.7,86.0
Australia,2005.0,34479.7679298388,386515211.6,81.0
Australia,2006.0,36595.7071548423,392681873.2,81.2
Australia,2007.0,41051.6120652288,400415729.4,81.3
Australia,2008.0,49701.2817843335,405048537.2,81.3
Australia,2009.0,42816.5674002829,408672631.7,81.7
Australia,2010.0,52144.6654705468,406752772.7,81.9
Australia,2011.0,62605.600458306,404246571.2,82.0
Australia,2012.0,68072.8732340801,407146057.1,82.3
Australia,2013.0,68190.7010035651,398163798.2,82.5
Australia,2014.0,62544.0873773726,393464239.2,82.7
Australia,2015.0,56739.0265346593,402995453.4,82.8
Argentina,2000.0,7637.01489203628,141716804.3,74.1
Argentina,2001.0,7141.47507662826,133310609.8,74.0
Argentina,2002.0,2569.69963519124,124382213.6,74.1
Argentina,2003.0,3320.47775133903,134620660.1,74.1
Argentina,2004.0,4242.02099089422,157033639.3,74.7
Argentina,2005.0,5067.65342293276,161424779.4,74.9
Argentina,2006.0,5869.38028970204,174617506.0,75.2
Argentina,2007.0,7185.25155147027,174232910.8,74.8
Argentina,2008.0,8944.1102657357,188041184.3,75.4
Argentina,2009.0,8150.23527028221,178867384.3,75.6
Argentina,2010.0,10260.1313108254,186686451.5,75.5
Argentina,2011.0,12704.2831819684,190247901.5,75.7
Argentina,2012.0,12949.717486654,191044680.3,75.9
Argentina,2013.0,12963.675773326,188428149.5,76.0
Argentina,2014.0,12233.1444119186,202671490.1,76.2
Argentina,2015.0,13679.6264980954,206367967.5,76.3
Mexico,2000.0,7524.0271380091,397899666.1,74.8
Mexico,2001.0,7952.76479510706,412627401.3,75.0
Mexico,2002.0,7983.03398381759,413972575.8,75.0
Mexico,2003.0,7434.07465031562,439786050.0,75.0
Mexico,2004.0,7849.66759649565,440799635.4,75.4
Mexico,2005.0,8671.75891885163,465913628.4,75.3
Mexico,2006.0,9512.63575346699,478803636.6,75.8
Mexico,2007.0,10134.3327129706,482325460.8,76.0
Mexico,2008.0,10523.7685427665,495305014.2,75.6
Mexico,2009.0,8423.56933214711,478389000.8,75.7
Mexico,2010.0,9728.80078237782,466090651.8,75.6
Mexico,2011.0,10664.4944046282,486503210.3,76.1
Mexico,2012.0,10744.1335229686,498658522.0,76.3
Mexico,2013.0,11216.800851866,492559728.7,76.6
Mexico,2014.0,11391.3773510244,482527892.6,76.6
Mexico,2015.0,10021.2386124039,477273652.5,76.7
Brazil,2000.0,3766.54811466032,324226040.0,75.0
Brazil,2001.0,3176.28935747524,332987400.0,71.0
